dataset,n_instances,n_features,n_binary_features,n_categorical_features,n_continuous_features,endpoint_type,n_classes,imbalance,task
1027_ESL,488,4,0,4,0,continuous,9,0.0993632,regression
1028_SWD,1000,10,1,9,0,continuous,4,0.108290667,regression
1029_LEV,1000,4,0,4,0,continuous,5,0.111245,regression
1030_ERA,1000,4,0,0,4,continuous,9,0.03125125,regression
1089_USCrime,47,13,1,0,12,continuous,42,0.002970111,regression
1096_FacultySalaries,50,4,1,0,3,continuous,39,0.004063158,regression
1191_BNG_pbc,1000000,18,6,2,10,continuous,978852,2.15E-08,regression
1193_BNG_lowbwt,31104,9,4,3,2,continuous,31056,4.95E-08,regression
1196_BNG_pharynx,1000000,10,3,6,1,continuous,984191,1.60E-08,regression
1199_BNG_echoMonths,17496,9,3,0,6,continuous,17489,2.29E-08,regression
1201_BNG_breastTumor,116640,9,4,3,2,continuous,92234,0.042496648,regression
1203_BNG_pwLinear,177147,10,1,9,0,continuous,176025,3.60E-08,regression
1595_poker,1025010,10,0,5,5,continuous,10,0.369373584,regression
192_vineyard,52,2,0,0,2,continuous,19,0.040475016,regression
195_auto_price,159,15,0,1,14,continuous,145,0.000503782,regression
197_cpu_act,8192,21,0,0,21,continuous,56,0.020572346,regression
201_pol,15000,48,0,22,26,continuous,11,0.374681553,regression
207_autoPrice,159,15,0,1,14,continuous,145,0.000503782,regression
210_cloud,108,5,1,1,3,continuous,94,0.001379117,regression
215_2dplanes,40768,10,1,9,0,continuous,40368,2.42E-07,regression
218_house_8L,22784,8,0,0,8,continuous,2045,0.019353432,regression
225_puma8NH,8192,8,0,0,8,continuous,8192,0,regression
227_cpu_small,8192,12,0,0,12,continuous,56,0.020572346,regression
228_elusage,55,2,0,0,2,continuous,52,0.000952844,regression
229_pwLinear,200,10,1,9,0,continuous,189,0.000310638,regression
230_machine_cpu,209,6,0,0,6,continuous,116,0.004905725,regression
294_satellite_image,6435,36,0,0,36,continuous,6,0.027608732,regression
344_mv,40768,10,2,1,7,continuous,39029,0.000630083,regression
4544_GeographicalOriginalofMusic,1059,117,0,0,117,continuous,1057,1.78E-06,regression
485_analcatdata_vehicle,48,4,3,1,0,continuous,47,0.000434028,regression
503_wind,6574,14,0,0,14,continuous,779,0.00064765,regression
505_tecator,240,124,0,0,124,continuous,157,0.00215122,regression
519_vinnie,380,2,0,1,1,continuous,16,0.030145891,regression
522_pm10,500,7,0,0,7,continuous,117,0.008251517,regression
523_analcatdata_neavote,100,2,0,2,0,continuous,8,0.136914286,regression
527_analcatdata_election2000,67,14,0,0,14,continuous,67,0,regression
529_pollen,3848,4,0,0,4,continuous,3784,4.25E-06,regression
537_houses,20640,8,0,0,8,continuous,3842,0.002504111,regression
542_pollution,60,15,0,0,15,continuous,60,0,regression
547_no2,500,7,0,0,7,continuous,385,0.000491875,regression
556_analcatdata_apnea2,475,3,0,2,1,continuous,178,0.272393208,regression
557_analcatdata_apnea1,475,3,0,2,1,continuous,164,0.325259691,regression
560_bodyfat,252,14,0,0,14,continuous,176,0.001127308,regression
